columnCount,activationThreshold,cellsPerColumn,time,connectedPerm,permanenceInc,minThreshold,permanenceDec,initialPerm,numPatterns,newSynapseCount,predictedSegmentDecrement,result
2048,8,3,320.47669506073,0.5,0.001,2,0.001,0.1,4961,12,5e-05,51.6
2048,8,3,326.47824883461,0.1,0.01,2,0.01,0.5,4967,12,0.0005,51.7
2048,8,3,322.6966450214386,0.9,0.01,2,0.01,0.5,4960,12,0.0005,51.0
2048,8,3,328.9273200035095,0.1,0.01,2,0.1,0.1,4961,12,0.0005,49.6
2048,8,3,326.05754494667053,0.5,0.01,2,0.1,0.1,4960,12,0.0005,53.1
2048,8,3,324.75646805763245,0.5,0.1,2,0.1,0.1,4955,12,0.005000000000000001,50.7
2048,8,3,323.61555099487305,0.9,0.1,2,0.1,0.1,4958,12,0.005000000000000001,50.3
2048,8,3,328.0476870536804,0.5,0.001,2,0.1,0.5,4963,12,5e-05,51.6
2048,8,3,323.4496760368347,0.9,0.1,2,0.1,0.5,4961,12,0.005000000000000001,50.6
2048,8,3,326.98482608795166,0.1,0.1,2,0.1,0.9,4960,12,0.005000000000000001,50.1
2048,8,3,325.4884328842163,0.5,0.1,2,0.1,0.9,4960,12,0.005000000000000001,46.4
columnCount,activationThreshold,cellsPerColumn,time,connectedPerm,permanenceInc,minThreshold,permanenceDec,initialPerm,numPatterns,newSynapseCount,predictedSegmentDecrement,result
2048,8,3,650.4588499069214,0.5,0.001,2,0.001,0.1,9866,12,5e-05,51.95
2048,8,3,668.2467851638794,0.1,0.01,2,0.01,0.5,9873,12,0.0005,51.75
2048,8,3,711.8363749980927,0.5,0.01,2,0.1,0.1,9863,12,0.0005,51.4
2048,8,3,702.9690501689911,0.5,0.001,2,0.1,0.5,9861,12,5e-05,53.2
